Repository,URL
ansible/awx_plugins.managed_credential_type.bitbucket_dc_token,https://github.com/ansible/awx_plugins.managed_credential_type.bitbucket_dc_token
ansible/awx_plugins.managed_credential_type.gitlab_token,https://github.com/ansible/awx_plugins.managed_credential_type.gitlab_token
ansible/awx_plugins.managed_credential_type.github_token,https://github.com/ansible/awx_plugins.managed_credential_type.github_token
ansible/awx_plugins.managed_credential_type.azure_rm,https://github.com/ansible/awx_plugins.managed_credential_type.azure_rm
ansible/awx_plugins.managed_credential_type.gce,https://github.com/ansible/awx_plugins.managed_credential_type.gce
ansible/awx_plugins.managed_credential_type.satellite6,https://github.com/ansible/awx_plugins.managed_credential_type.satellite6
ansible/awx_plugins.managed_credential_type.vmware,https://github.com/ansible/awx_plugins.managed_credential_type.vmware
ansible/awx_plugins.managed_credential_type.openstack,https://github.com/ansible/awx_plugins.managed_credential_type.openstack
ansible/awx_plugins.managed_credential_type.aws,https://github.com/ansible/awx_plugins.managed_credential_type.aws
ansible/awx_plugins.managed_credential_type.net,https://github.com/ansible/awx_plugins.managed_credential_type.net
ansible/awx_plugins.managed_credential_type.vault,https://github.com/ansible/awx_plugins.managed_credential_type.vault
ansible/awx_plugins.managed_credential_type.scm,https://github.com/ansible/awx_plugins.managed_credential_type.scm
ansible/awx_plugins.managed_credential_type.ssh,https://github.com/ansible/awx_plugins.managed_credential_type.ssh
ansible/awx_plugins.managed_credential_type.galaxy_api_token,https://github.com/ansible/awx_plugins.managed_credential_type.galaxy_api_token
ansible/awx_plugins.managed_credential_type.controller,https://github.com/ansible/awx_plugins.managed_credential_type.controller
ansible/awx_plugins.credential.tss,https://github.com/ansible/awx_plugins.credential.tss
ansible/awx_plugins.credential.hashivault_ssh,https://github.com/ansible/awx_plugins.credential.hashivault_ssh
ansible/awx_plugins.credential.hashivault_kv,https://github.com/ansible/awx_plugins.credential.hashivault_kv
ansible/awx_plugins.credential.dsv,https://github.com/ansible/awx_plugins.credential.dsv
ansible/awx_plugins.credential.conjur,https://github.com/ansible/awx_plugins.credential.conjur
ansible/awx_plugins.credential.centrify,https://github.com/ansible/awx_plugins.credential.centrify
ansible/awx_plugins.credential.azure_keyvault,https://github.com/ansible/awx_plugins.credential.azure_keyvault
ansible/awx_plugins.credential.aws_secretmanager,https://github.com/ansible/awx_plugins.credential.aws_secretmanager
ansible/awx_plugins.credential.aws_assumerole,https://github.com/ansible/awx_plugins.credential.aws_assumerole
ansible/awx_plugins.credential.aim,https://github.com/ansible/awx_plugins.credential.aim
ansible/awx_plugins.credential.controller,https://github.com/ansible/awx_plugins.credential.controller
ansible/aws-identity-account-config,https://github.com/ansible/aws-identity-account-config
ansible/ansible-language-server,https://github.com/ansible/ansible-language-server
ansible/lightspeed-service,https://github.com/ansible/lightspeed-service
ansible/ansible-collaborative,https://github.com/ansible/ansible-collaborative
ansible/ansible-workspace-env-reference-image,https://github.com/ansible/ansible-workspace-env-reference-image
ansible/sonarcloud-public-test,https://github.com/ansible/sonarcloud-public-test
ansible/ansible-sdk,https://github.com/ansible/ansible-sdk
ansible/ansible-cicd,https://github.com/ansible/ansible-cicd
ansible/creator-ee,https://github.com/ansible/creator-ee
ansible/awx-ee,https://github.com/ansible/awx-ee
ansible/servicenow-eda-services-app,https://github.com/ansible/servicenow-eda-services-app
ansible/ansible-contributor-metrics,https://github.com/ansible/ansible-contributor-metrics
ansible/molecule-cookiecutter,https://github.com/ansible/molecule-cookiecutter
ansible/community-ansible-dev-tools-image,https://github.com/ansible/community-ansible-dev-tools-image
ansible/ansible-tower-samples,https://github.com/ansible/ansible-tower-samples
ansible/ansible-zen,https://github.com/ansible/ansible-zen
ansible/ansible-lightspeed,https://github.com/ansible/ansible-lightspeed
ansible/ansible-examples,https://github.com/ansible/ansible-examples
